group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,0,,,1457954.0,ns,35366
LimitedWriter,len_utf8_at,0,,,2796523.0,ns,70732
LimitedWriter,len_utf8_at,0,,,4119373.0,ns,106098
LimitedWriter,len_utf8_at,0,,,5550386.0,ns,141464
LimitedWriter,len_utf8_at,0,,,4301624.0,ns,176830
LimitedWriter,len_utf8_at,0,,,6886802.0,ns,212196
LimitedWriter,len_utf8_at,0,,,8863047.0,ns,247562
LimitedWriter,len_utf8_at,0,,,9831762.0,ns,282928
LimitedWriter,len_utf8_at,0,,,7377712.0,ns,318294
LimitedWriter,len_utf8_at,0,,,8194905.0,ns,353660
LimitedWriter,len_utf8_at,0,,,8967553.0,ns,389026
LimitedWriter,len_utf8_at,0,,,9841882.0,ns,424392
LimitedWriter,len_utf8_at,0,,,10642914.0,ns,459758
LimitedWriter,len_utf8_at,0,,,11427335.0,ns,495124
LimitedWriter,len_utf8_at,0,,,13651124.0,ns,530490
LimitedWriter,len_utf8_at,0,,,20780781.0,ns,565856
LimitedWriter,len_utf8_at,0,,,16880919.0,ns,601222
LimitedWriter,len_utf8_at,0,,,14663111.0,ns,636588
LimitedWriter,len_utf8_at,0,,,15530257.0,ns,671954
LimitedWriter,len_utf8_at,0,,,17236736.0,ns,707320
LimitedWriter,len_utf8_at,0,,,17194036.0,ns,742686
LimitedWriter,len_utf8_at,0,,,18369489.0,ns,778052
LimitedWriter,len_utf8_at,0,,,19337485.0,ns,813418
LimitedWriter,len_utf8_at,0,,,20239666.0,ns,848784
LimitedWriter,len_utf8_at,0,,,24240778.0,ns,884150
LimitedWriter,len_utf8_at,0,,,25744296.0,ns,919516
LimitedWriter,len_utf8_at,0,,,22937063.0,ns,954882
LimitedWriter,len_utf8_at,0,,,24495896.0,ns,990248
LimitedWriter,len_utf8_at,0,,,25897143.0,ns,1025614
LimitedWriter,len_utf8_at,0,,,26486779.0,ns,1060980
LimitedWriter,len_utf8_at,0,,,30974332.0,ns,1096346
LimitedWriter,len_utf8_at,0,,,26215560.0,ns,1131712
LimitedWriter,len_utf8_at,0,,,29237055.0,ns,1167078
LimitedWriter,len_utf8_at,0,,,27959961.0,ns,1202444
LimitedWriter,len_utf8_at,0,,,32731477.0,ns,1237810
LimitedWriter,len_utf8_at,0,,,30271314.0,ns,1273176
LimitedWriter,len_utf8_at,0,,,33270928.0,ns,1308542
LimitedWriter,len_utf8_at,0,,,33379351.0,ns,1343908
LimitedWriter,len_utf8_at,0,,,33256291.0,ns,1379274
LimitedWriter,len_utf8_at,0,,,36629785.0,ns,1414640
LimitedWriter,len_utf8_at,0,,,35511789.0,ns,1450006
LimitedWriter,len_utf8_at,0,,,46017395.0,ns,1485372
LimitedWriter,len_utf8_at,0,,,39035024.0,ns,1520738
LimitedWriter,len_utf8_at,0,,,36100332.0,ns,1556104
LimitedWriter,len_utf8_at,0,,,40762693.0,ns,1591470
LimitedWriter,len_utf8_at,0,,,44409180.0,ns,1626836
LimitedWriter,len_utf8_at,0,,,40560705.0,ns,1662202
LimitedWriter,len_utf8_at,0,,,42031822.0,ns,1697568
LimitedWriter,len_utf8_at,0,,,42756803.0,ns,1732934
LimitedWriter,len_utf8_at,0,,,40984439.0,ns,1768300
LimitedWriter,len_utf8_at,0,,,41615323.0,ns,1803666
LimitedWriter,len_utf8_at,0,,,42456629.0,ns,1839032
LimitedWriter,len_utf8_at,0,,,43275054.0,ns,1874398
LimitedWriter,len_utf8_at,0,,,44070976.0,ns,1909764
LimitedWriter,len_utf8_at,0,,,44927652.0,ns,1945130
LimitedWriter,len_utf8_at,0,,,45698828.0,ns,1980496
LimitedWriter,len_utf8_at,0,,,64274724.0,ns,2015862
LimitedWriter,len_utf8_at,0,,,47312082.0,ns,2051228
LimitedWriter,len_utf8_at,0,,,48078270.0,ns,2086594
LimitedWriter,len_utf8_at,0,,,60578835.0,ns,2121960
LimitedWriter,len_utf8_at,0,,,49722972.0,ns,2157326
LimitedWriter,len_utf8_at,0,,,50528682.0,ns,2192692
LimitedWriter,len_utf8_at,0,,,52446780.0,ns,2228058
LimitedWriter,len_utf8_at,0,,,52419729.0,ns,2263424
LimitedWriter,len_utf8_at,0,,,53190634.0,ns,2298790
LimitedWriter,len_utf8_at,0,,,54331353.0,ns,2334156
LimitedWriter,len_utf8_at,0,,,59444629.0,ns,2369522
LimitedWriter,len_utf8_at,0,,,55622282.0,ns,2404888
LimitedWriter,len_utf8_at,0,,,63627742.0,ns,2440254
LimitedWriter,len_utf8_at,0,,,61228053.0,ns,2475620
LimitedWriter,len_utf8_at,0,,,61189921.0,ns,2510986
LimitedWriter,len_utf8_at,0,,,58931326.0,ns,2546352
LimitedWriter,len_utf8_at,0,,,59554976.0,ns,2581718
LimitedWriter,len_utf8_at,0,,,60452679.0,ns,2617084
LimitedWriter,len_utf8_at,0,,,61286593.0,ns,2652450
LimitedWriter,len_utf8_at,0,,,61948924.0,ns,2687816
LimitedWriter,len_utf8_at,0,,,71269529.0,ns,2723182
LimitedWriter,len_utf8_at,0,,,65105743.0,ns,2758548
LimitedWriter,len_utf8_at,0,,,68749795.0,ns,2793914
LimitedWriter,len_utf8_at,0,,,72558636.0,ns,2829280
LimitedWriter,len_utf8_at,0,,,77813177.0,ns,2864646
LimitedWriter,len_utf8_at,0,,,75071327.0,ns,2900012
LimitedWriter,len_utf8_at,0,,,69180563.0,ns,2935378
LimitedWriter,len_utf8_at,0,,,73834558.0,ns,2970744
LimitedWriter,len_utf8_at,0,,,69773554.0,ns,3006110
LimitedWriter,len_utf8_at,0,,,87031971.0,ns,3041476
LimitedWriter,len_utf8_at,0,,,71763886.0,ns,3076842
LimitedWriter,len_utf8_at,0,,,73505330.0,ns,3112208
LimitedWriter,len_utf8_at,0,,,73641706.0,ns,3147574
LimitedWriter,len_utf8_at,0,,,74987941.0,ns,3182940
LimitedWriter,len_utf8_at,0,,,76278780.0,ns,3218306
LimitedWriter,len_utf8_at,0,,,82679270.0,ns,3253672
LimitedWriter,len_utf8_at,0,,,84199641.0,ns,3289038
LimitedWriter,len_utf8_at,0,,,81639902.0,ns,3324404
LimitedWriter,len_utf8_at,0,,,78519180.0,ns,3359770
LimitedWriter,len_utf8_at,0,,,86639175.0,ns,3395136
LimitedWriter,len_utf8_at,0,,,83476605.0,ns,3430502
LimitedWriter,len_utf8_at,0,,,81504839.0,ns,3465868
LimitedWriter,len_utf8_at,0,,,87783611.0,ns,3501234
LimitedWriter,len_utf8_at,0,,,96010514.0,ns,3536600
